               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11746,            0.040552,            0.061563,            0.010056,            0.021104,           0.0022458,          0.00078544,             0.11424,            0.035636,            0.061881,             0.00026,             0.00026,             0.09766
                   1,             0.11127,             0.03907,            0.060116,            0.007912,            0.032888,           0.0026004,          0.00079851,              0.1066,            0.036912,            0.061087,          0.00052995,          0.00052995,             0.09523
                   2,             0.10414,            0.042092,            0.058149,           0.0095223,            0.039308,           0.0043051,           0.0012034,             0.09998,             0.03919,            0.058515,          0.00079972,          0.00079972,              0.0928
                   3,            0.097915,            0.044798,            0.056051,            0.014431,            0.058427,           0.0069313,           0.0016386,             0.09608,            0.039907,            0.055893,           0.0010692,           0.0010692,            0.090369
                   4,            0.092667,            0.046531,            0.053646,            0.019959,             0.17621,            0.021377,           0.0054637,            0.091032,            0.041516,            0.053388,           0.0013381,           0.0013381,            0.087938
                   5,            0.087305,            0.048431,            0.050864,             0.26084,             0.14128,            0.068438,            0.023586,            0.086338,             0.04264,            0.049785,           0.0016065,           0.0016065,            0.085506
                   6,            0.081188,            0.049566,            0.047963,              0.2817,             0.11201,            0.087409,            0.027053,            0.081375,            0.043197,            0.045329,           0.0018741,           0.0018741,            0.083074
                   7,            0.077379,            0.047445,            0.045154,             0.20858,             0.24085,             0.17499,            0.040685,            0.076453,            0.042972,            0.041851,           0.0021408,           0.0021408,            0.080641
                   8,            0.073481,            0.050844,            0.042333,             0.10686,             0.34782,              0.1477,            0.046235,            0.074006,            0.043145,            0.038092,           0.0024064,           0.0024064,            0.078206
                   9,            0.071942,            0.046282,            0.039799,             0.12101,             0.33913,             0.17584,            0.050141,            0.072456,            0.042536,            0.035478,           0.0026709,           0.0026709,            0.075771
                  10,            0.068606,            0.048672,            0.036361,             0.68194,             0.17728,             0.12853,            0.044823,            0.071767,             0.04255,            0.033114,           0.0029341,           0.0029341,            0.073334
                  11,            0.068058,            0.047096,            0.035968,             0.72895,             0.17026,             0.13955,            0.041397,            0.067342,            0.042774,            0.031545,           0.0031959,           0.0031959,            0.070896
                  12,            0.066384,            0.043828,            0.034208,             0.41083,             0.22744,             0.14386,            0.051398,            0.069226,            0.040522,            0.029978,            0.003456,            0.003456,            0.068456
                  13,            0.066559,            0.044031,            0.032802,             0.75852,             0.20668,             0.20005,             0.07375,            0.065315,            0.040466,            0.028537,           0.0037144,           0.0037144,            0.066014
                  14,            0.066355,            0.044632,            0.031685,             0.75154,              0.2033,             0.20239,            0.072402,              0.0655,            0.040494,            0.027935,            0.003971,            0.003971,            0.063571
                  15,            0.065339,            0.041144,            0.030105,              0.7726,             0.21291,             0.20754,             0.06054,            0.067538,            0.038636,            0.026505,           0.0042256,           0.0042256,            0.061126
                  16,            0.065404,            0.043377,            0.030762,             0.72739,             0.22444,              0.1797,            0.060946,            0.065981,            0.038492,             0.02539,           0.0044781,           0.0044781,            0.058678
                  17,            0.061216,            0.041037,            0.028345,             0.37407,             0.35493,             0.24309,            0.084396,            0.062335,            0.038537,            0.024795,           0.0047283,           0.0047283,            0.056228
                  18,             0.06536,            0.041396,            0.027455,             0.35687,             0.39335,             0.23124,            0.080167,            0.067137,            0.037725,            0.023719,           0.0049762,           0.0049762,            0.053776
                  19,            0.066283,             0.04417,            0.027379,             0.16292,             0.51475,             0.24486,            0.081107,            0.066264,            0.038377,            0.023163,           0.0052215,           0.0052215,            0.051322
                  20,            0.062119,            0.040548,            0.025928,             0.18828,             0.49207,             0.27517,            0.080919,            0.066702,            0.037456,            0.021654,           0.0054643,           0.0054643,            0.048864
                  21,            0.063726,             0.03786,            0.024418,             0.39021,             0.39995,             0.25144,            0.075237,            0.061838,            0.037829,            0.020947,           0.0057042,           0.0057042,            0.046404
                  22,            0.060517,            0.041021,             0.02371,             0.35775,             0.42906,             0.29989,             0.10169,            0.063226,            0.037538,            0.021029,           0.0059414,           0.0059414,            0.043941
                  23,            0.060803,             0.04288,            0.025785,             0.38773,             0.43489,             0.27433,            0.095631,            0.060405,            0.038942,             0.01931,           0.0061755,           0.0061755,            0.041475
                  24,            0.062702,             0.03791,            0.022882,             0.36759,              0.4023,             0.30047,            0.094556,            0.063782,            0.036413,            0.019065,           0.0064065,           0.0064065,            0.039007
                  25,            0.058983,            0.038196,            0.022507,             0.39119,             0.39129,             0.27152,             0.06979,            0.067156,            0.035745,            0.019024,           0.0066343,           0.0066343,            0.036534
                  26,            0.063495,            0.038357,            0.021472,             0.39107,             0.46782,             0.31144,             0.11089,            0.061663,            0.037373,            0.018809,           0.0068588,           0.0068588,            0.034059
                  27,            0.058601,             0.03922,             0.02075,             0.39602,             0.36992,             0.26791,            0.099938,            0.060146,            0.037609,            0.018624,           0.0070799,           0.0070799,             0.03158
                  28,            0.059809,            0.040386,            0.021853,             0.40202,              0.4226,             0.31235,             0.11341,            0.062617,            0.036414,            0.017195,           0.0072974,           0.0072974,            0.029097
                  29,             0.06087,            0.036923,            0.021251,             0.52334,             0.37789,             0.29147,             0.11257,            0.061456,            0.035958,            0.018034,           0.0075112,           0.0075112,            0.026611
                  30,            0.060616,            0.036607,             0.02015,             0.56204,             0.38009,             0.31624,             0.13104,            0.059385,            0.037213,             0.01779,           0.0077214,           0.0077214,            0.024121
                  31,            0.058098,            0.037246,            0.020532,             0.42936,             0.41313,             0.27127,            0.080595,            0.062033,            0.037143,            0.016403,           0.0079276,           0.0079276,            0.021628
                  32,            0.061128,            0.036576,            0.020024,             0.51396,             0.38745,             0.27744,            0.086068,            0.063406,            0.037209,            0.016207,           0.0081299,           0.0081299,             0.01913
                  33,            0.055583,            0.036677,            0.018968,             0.35335,             0.47834,             0.27866,              0.1059,            0.061799,            0.037413,            0.015938,           0.0083282,           0.0083282,            0.016628
                  34,            0.055617,             0.03767,            0.017847,             0.41712,             0.42016,              0.2846,             0.10764,            0.062123,            0.035931,            0.015348,           0.0085224,           0.0085224,            0.014122
                  35,            0.058851,            0.036319,            0.019829,              0.4504,             0.40746,             0.31731,              0.1215,            0.064787,            0.035177,            0.015652,           0.0087124,           0.0087124,            0.011612
                  36,            0.061764,            0.035999,            0.017574,             0.41964,             0.34874,             0.29661,              0.1007,            0.063502,            0.037524,            0.015739,            0.008898,            0.008898,            0.009098
                  37,            0.059877,            0.035694,            0.017902,             0.53208,             0.29675,             0.32731,             0.13338,            0.056914,            0.040223,            0.018252,           0.0088579,           0.0088579,           0.0088579
                  38,             0.05737,            0.036312,            0.017917,             0.50284,             0.42897,             0.36732,             0.13067,            0.061636,            0.036353,            0.016079,           0.0088579,           0.0088579,           0.0088579
                  39,            0.053997,            0.037962,            0.016378,             0.49276,             0.38336,             0.34109,             0.11452,            0.060098,            0.038914,             0.01631,           0.0087987,           0.0087987,           0.0087987
                  40,            0.055099,            0.035225,            0.015977,             0.34912,             0.40508,             0.27952,            0.097754,            0.059293,            0.036613,            0.016399,           0.0087382,           0.0087382,           0.0087382
                  41,            0.049801,            0.036306,            0.016096,             0.42428,             0.45224,             0.40277,             0.18249,            0.057892,            0.035469,            0.015545,           0.0086765,           0.0086765,           0.0086765
                  42,            0.055026,            0.036295,            0.016682,             0.46505,             0.49064,             0.47379,             0.22138,            0.055314,            0.035449,            0.015551,           0.0086137,           0.0086137,           0.0086137
                  43,             0.05011,             0.03682,            0.014996,             0.53999,              0.3825,             0.44015,             0.15641,            0.056258,            0.037015,            0.014193,           0.0085497,           0.0085497,           0.0085497
                  44,            0.048174,            0.039654,            0.015496,              0.5807,             0.41921,             0.46296,             0.21645,            0.054783,            0.035777,            0.013913,           0.0084846,           0.0084846,           0.0084846
                  45,            0.050769,            0.036554,            0.014721,             0.54716,             0.40141,             0.44543,             0.19751,            0.057688,            0.036352,            0.013117,           0.0084184,           0.0084184,           0.0084184
                  46,            0.047336,            0.037076,            0.014289,             0.33672,             0.63339,             0.47134,             0.22562,            0.051423,              0.0384,             0.01382,           0.0083511,           0.0083511,           0.0083511
                  47,            0.045717,            0.036032,            0.014107,             0.29935,             0.54436,             0.45734,             0.21642,            0.057669,            0.037001,            0.014958,           0.0082829,           0.0082829,           0.0082829
                  48,            0.048416,            0.035802,            0.014201,             0.33872,             0.61586,             0.51377,             0.21408,            0.055064,            0.036762,            0.014679,           0.0082136,           0.0082136,           0.0082136
                  49,            0.045157,            0.034883,            0.013476,             0.33369,             0.70278,             0.52563,             0.25477,            0.053625,            0.037502,            0.015232,           0.0081433,           0.0081433,           0.0081433
                  50,            0.048363,            0.035401,            0.012014,             0.36708,             0.66891,              0.5023,             0.22741,            0.055526,            0.036727,            0.014982,           0.0080721,           0.0080721,           0.0080721
                  51,            0.044991,             0.03584,            0.012724,             0.32591,             0.61092,             0.47736,             0.23028,            0.052997,            0.038311,            0.015332,               0.008,               0.008,               0.008
                  52,            0.044788,            0.034462,            0.011697,             0.36481,             0.65217,             0.52657,             0.22696,            0.058027,            0.037627,            0.014919,            0.007927,            0.007927,            0.007927
                  53,            0.047645,            0.034617,            0.012793,             0.31414,             0.66153,             0.51133,             0.26829,            0.052676,            0.037361,            0.016815,           0.0078532,           0.0078532,           0.0078532
                  54,            0.042762,            0.035464,             0.01206,             0.32773,             0.59222,             0.46974,             0.20671,            0.054836,            0.036145,            0.016204,           0.0077785,           0.0077785,           0.0077785
                  55,            0.045535,            0.035571,            0.012187,             0.38341,             0.73729,             0.56269,             0.24724,            0.052693,            0.036175,            0.016293,           0.0077031,           0.0077031,           0.0077031
                  56,            0.043122,            0.033778,            0.011115,             0.62976,             0.41468,             0.54103,             0.25003,             0.05134,            0.036091,            0.017555,           0.0076269,           0.0076269,           0.0076269
                  57,            0.042112,             0.03311,            0.010869,              0.3889,             0.59626,              0.5445,             0.23391,            0.052218,            0.035908,            0.016176,           0.0075501,           0.0075501,           0.0075501
                  58,            0.044079,            0.034109,            0.010917,             0.40162,             0.55044,             0.50525,             0.23564,            0.054833,            0.036257,            0.015975,           0.0074725,           0.0074725,           0.0074725
                  59,            0.040777,            0.035251,            0.011014,              0.3747,             0.63194,             0.52699,             0.25805,            0.049432,            0.036727,            0.015684,           0.0073943,           0.0073943,           0.0073943
                  60,            0.040681,            0.033399,              0.0099,             0.33554,             0.68115,             0.49049,             0.24141,             0.05281,            0.036017,            0.015212,           0.0073155,           0.0073155,           0.0073155
                  61,            0.045874,            0.034142,            0.010077,             0.37619,             0.72911,             0.54463,             0.22778,            0.052941,            0.036244,            0.015069,           0.0072361,           0.0072361,           0.0072361
                  62,            0.041371,            0.031591,            0.011451,             0.46363,             0.60022,             0.53338,             0.26274,            0.051524,            0.037372,            0.014186,           0.0071561,           0.0071561,           0.0071561
                  63,            0.040393,            0.032647,            0.010287,             0.42431,             0.61015,             0.55861,             0.25741,            0.050323,            0.038401,            0.013209,           0.0070757,           0.0070757,           0.0070757
                  64,            0.041145,            0.033845,           0.0099035,             0.40213,             0.63331,             0.53015,             0.24153,            0.053627,            0.037838,            0.013347,           0.0069948,           0.0069948,           0.0069948
                  65,            0.037898,            0.032283,           0.0092732,             0.43514,             0.59866,             0.53429,               0.272,            0.049922,            0.039389,            0.012709,           0.0069134,           0.0069134,           0.0069134
                  66,            0.039704,            0.031937,           0.0099073,             0.47963,             0.65027,             0.53825,             0.24763,            0.051091,            0.040435,             0.01401,           0.0068316,           0.0068316,           0.0068316
                  67,            0.040108,            0.033237,           0.0090509,             0.47902,             0.68415,             0.54622,             0.27114,            0.051299,             0.04015,             0.01394,           0.0067495,           0.0067495,           0.0067495
                  68,            0.040177,            0.031427,           0.0087906,             0.46845,             0.64874,             0.54007,              0.2553,            0.051298,            0.039519,            0.013906,           0.0066671,           0.0066671,           0.0066671
                  69,            0.040525,            0.033185,            0.010123,             0.43566,             0.69975,             0.52921,              0.2594,            0.049466,            0.038519,            0.015132,           0.0065843,           0.0065843,           0.0065843
                  70,            0.037352,            0.033962,           0.0093125,             0.51889,             0.54211,             0.51403,             0.25241,            0.050413,            0.038417,            0.015561,           0.0065013,           0.0065013,           0.0065013
                  71,            0.038196,             0.03269,           0.0088843,             0.49002,             0.58629,             0.52563,             0.27566,            0.049545,            0.039226,            0.015382,           0.0064181,           0.0064181,           0.0064181
                  72,            0.037384,            0.033488,           0.0084923,             0.46455,             0.61481,             0.52004,             0.26529,            0.052022,            0.038294,            0.015055,           0.0063347,           0.0063347,           0.0063347
                  73,            0.036356,            0.030657,           0.0075141,             0.52675,             0.59356,             0.55255,             0.27617,             0.04946,            0.038303,            0.014245,           0.0062512,           0.0062512,           0.0062512
                  74,            0.039538,             0.03183,           0.0074468,             0.59671,              0.5907,              0.5824,             0.29431,            0.050695,            0.038021,            0.014848,           0.0061675,           0.0061675,           0.0061675
                  75,            0.038537,            0.032634,           0.0084249,               0.543,             0.58194,             0.57607,             0.30157,            0.052055,            0.036302,            0.014595,           0.0060838,           0.0060838,           0.0060838
                  76,            0.037782,            0.032001,            0.008401,             0.46881,             0.62997,             0.55445,             0.28457,            0.049847,            0.037363,            0.014138,               0.006,               0.006,               0.006
                  77,            0.037059,            0.028865,           0.0084494,             0.50504,             0.59213,             0.54024,              0.2862,             0.04884,             0.03796,            0.014615,           0.0059162,           0.0059162,           0.0059162
                  78,            0.035889,            0.030663,           0.0081915,             0.47733,              0.5661,             0.52659,             0.27832,            0.049917,            0.037897,            0.015415,           0.0058325,           0.0058325,           0.0058325
                  79,            0.036377,             0.03115,           0.0078073,             0.47797,              0.6226,             0.53678,             0.28891,            0.048851,            0.039107,            0.015962,           0.0057488,           0.0057488,           0.0057488
                  80,            0.036891,              0.0321,           0.0074116,             0.49356,              0.6657,             0.54991,               0.288,            0.049415,            0.039309,            0.015642,           0.0056653,           0.0056653,           0.0056653
                  81,            0.034629,            0.029879,           0.0074481,             0.56827,             0.58466,             0.54569,             0.28211,            0.049931,            0.039295,            0.014725,           0.0055819,           0.0055819,           0.0055819
                  82,              0.0374,            0.029564,           0.0069417,             0.54838,              0.5562,             0.54049,              0.2836,            0.049026,            0.038819,            0.014386,           0.0054987,           0.0054987,           0.0054987
                  83,             0.03559,            0.029366,           0.0071612,             0.60827,             0.64312,             0.59565,             0.31533,            0.049002,             0.03822,            0.014531,           0.0054157,           0.0054157,           0.0054157
                  84,            0.036035,            0.033196,             0.00683,             0.58364,             0.57064,              0.5614,              0.3196,            0.048987,            0.037999,             0.01399,           0.0053329,           0.0053329,           0.0053329
                  85,            0.036495,            0.030808,           0.0070564,             0.57103,             0.57704,             0.57339,              0.3367,            0.048645,             0.03833,              0.0137,           0.0052505,           0.0052505,           0.0052505
                  86,            0.034188,             0.02947,           0.0064633,             0.50863,              0.6684,             0.57456,             0.31134,            0.049463,            0.038922,            0.014033,           0.0051684,           0.0051684,           0.0051684
                  87,            0.034349,            0.028954,           0.0069034,             0.53562,             0.61906,             0.55579,             0.28708,            0.048871,            0.039922,            0.014026,           0.0050866,           0.0050866,           0.0050866
                  88,            0.034788,            0.031808,           0.0069495,             0.60354,             0.62088,             0.57725,             0.29715,            0.047454,            0.039146,            0.013703,           0.0050052,           0.0050052,           0.0050052
                  89,            0.032445,            0.028665,            0.007052,             0.59245,             0.58235,             0.56485,             0.31815,            0.046602,            0.039068,            0.013634,           0.0049243,           0.0049243,           0.0049243
                  90,             0.03465,            0.029556,           0.0062381,              0.5621,             0.57398,             0.53791,             0.30101,            0.047321,            0.039569,            0.013936,           0.0048439,           0.0048439,           0.0048439
                  91,            0.035042,            0.030305,           0.0071598,             0.61378,             0.52428,             0.53362,             0.30298,            0.050097,            0.039057,            0.014014,           0.0047639,           0.0047639,           0.0047639
                  92,              0.0342,            0.030499,           0.0069556,             0.64352,             0.51086,              0.5302,             0.30663,            0.047206,            0.039514,            0.013612,           0.0046845,           0.0046845,           0.0046845
                  93,            0.034894,            0.030032,           0.0063757,             0.68236,             0.50217,             0.53782,             0.30312,            0.047435,            0.040295,            0.013539,           0.0046057,           0.0046057,           0.0046057
                  94,            0.031948,            0.028478,           0.0061405,             0.59003,             0.57601,             0.56531,             0.30839,            0.046397,            0.040217,            0.014136,           0.0045275,           0.0045275,           0.0045275
                  95,            0.031085,            0.028309,           0.0063066,             0.62679,             0.51794,             0.52903,             0.30677,             0.04681,            0.039647,            0.014248,           0.0044499,           0.0044499,           0.0044499
                  96,            0.032058,            0.031463,           0.0053837,             0.61808,             0.57735,             0.55139,             0.30977,            0.046317,            0.038634,            0.013753,           0.0043731,           0.0043731,           0.0043731
                  97,            0.031565,            0.028822,            0.007063,             0.64127,             0.53994,             0.54508,             0.30761,            0.045766,            0.038731,            0.013245,           0.0042969,           0.0042969,           0.0042969
                  98,            0.031158,            0.027293,           0.0060954,             0.60231,             0.55221,             0.53453,             0.29779,            0.046784,            0.040506,            0.012868,           0.0042215,           0.0042215,           0.0042215
                  99,             0.03196,            0.029388,           0.0058765,             0.61998,             0.58865,              0.5613,             0.31982,            0.046235,            0.040013,            0.013194,           0.0041468,           0.0041468,           0.0041468
                 100,            0.029728,            0.027266,           0.0059164,             0.57052,              0.5976,             0.53474,             0.30089,            0.045946,            0.040136,            0.013085,            0.004073,            0.004073,            0.004073
                 101,            0.031564,              0.0293,            0.006168,             0.61871,             0.56296,             0.56238,             0.33703,            0.046485,            0.040118,            0.013606,               0.004,               0.004,               0.004
                 102,            0.030759,            0.027994,           0.0050591,             0.64001,             0.54531,             0.54531,             0.32782,            0.045967,            0.040898,            0.014694,           0.0039279,           0.0039279,           0.0039279
                 103,            0.032067,            0.028845,           0.0060334,             0.53644,             0.59651,             0.54759,             0.32921,            0.045835,            0.040918,            0.013674,           0.0038567,           0.0038567,           0.0038567
                 104,            0.030281,            0.026483,           0.0049955,             0.56554,             0.58455,             0.53359,             0.30405,            0.046668,            0.040329,            0.013112,           0.0037864,           0.0037864,           0.0037864
                 105,            0.030384,            0.028808,           0.0052792,             0.51645,             0.62853,             0.53664,             0.31088,            0.046383,            0.040522,            0.013521,           0.0037171,           0.0037171,           0.0037171
                 106,            0.031778,            0.027886,           0.0052482,             0.56232,             0.54769,             0.53412,             0.30205,            0.046151,            0.040552,            0.013831,           0.0036489,           0.0036489,           0.0036489
                 107,            0.030142,            0.028733,           0.0049367,             0.54994,             0.56629,             0.54287,             0.31099,            0.045944,            0.040065,            0.013983,           0.0035816,           0.0035816,           0.0035816
                 108,            0.028443,            0.026697,           0.0054558,             0.54694,             0.57594,             0.54488,             0.32464,             0.04546,            0.039829,            0.014127,           0.0035154,           0.0035154,           0.0035154
                 109,            0.030552,            0.029773,           0.0054609,             0.59733,             0.52056,             0.55132,             0.31428,            0.045489,            0.039484,            0.013978,           0.0034503,           0.0034503,           0.0034503
                 110,            0.027894,            0.026679,           0.0050872,             0.54212,             0.57533,             0.54253,              0.3101,            0.045552,             0.04042,            0.013488,           0.0033863,           0.0033863,           0.0033863
                 111,            0.029905,            0.027639,           0.0052591,             0.59288,             0.56297,             0.55793,             0.33414,            0.045245,            0.040568,            0.013633,           0.0033235,           0.0033235,           0.0033235
                 112,            0.031084,             0.02682,           0.0046609,             0.59307,             0.59997,             0.55391,             0.31198,            0.045813,            0.040934,            0.013256,           0.0032618,           0.0032618,           0.0032618
                 113,            0.028958,            0.028884,           0.0049465,             0.59633,             0.60504,             0.56639,             0.35082,            0.044655,            0.040369,            0.013179,           0.0032013,           0.0032013,           0.0032013
                 114,            0.028228,            0.026585,           0.0043567,             0.61185,             0.63099,             0.58219,             0.35574,            0.045705,            0.040014,            0.013131,           0.0031421,           0.0031421,           0.0031421
                 115,            0.028512,            0.027898,           0.0046042,             0.57133,             0.62282,             0.57232,             0.35283,             0.04561,             0.03992,            0.012889,           0.0030841,           0.0030841,           0.0030841
                 116,            0.029695,            0.026394,           0.0054481,             0.60441,             0.59836,             0.55297,             0.33633,            0.045049,            0.039741,            0.012626,           0.0030274,           0.0030274,           0.0030274
                 117,            0.029256,            0.026256,           0.0045642,             0.63275,             0.55458,             0.54059,             0.32313,            0.045229,            0.039244,            0.012539,            0.002972,            0.002972,            0.002972
                 118,            0.028134,            0.027337,           0.0047701,             0.62826,             0.57887,             0.55709,             0.32604,            0.045555,             0.03905,            0.012524,           0.0029179,           0.0029179,           0.0029179
                 119,            0.028134,            0.026211,           0.0053945,             0.66009,             0.57251,             0.56243,             0.31938,            0.046126,            0.039288,            0.012934,           0.0028652,           0.0028652,           0.0028652
                 120,            0.028797,             0.02686,           0.0047491,             0.66955,             0.60996,             0.59214,             0.33286,            0.046287,            0.039765,            0.013439,           0.0028139,           0.0028139,           0.0028139
                 121,            0.027868,             0.02761,           0.0047348,               0.644,             0.61091,             0.58332,             0.33854,            0.046184,            0.039624,            0.013689,           0.0027639,           0.0027639,           0.0027639
                 122,            0.027532,            0.026723,            0.004782,             0.62762,             0.61087,             0.57902,               0.327,            0.045897,            0.039686,             0.01284,           0.0027154,           0.0027154,           0.0027154
                 123,            0.026808,            0.025434,           0.0042441,             0.65519,             0.60505,             0.57608,               0.336,            0.045405,            0.039753,            0.012957,           0.0026683,           0.0026683,           0.0026683
                 124,            0.026594,            0.026417,           0.0051121,             0.61072,              0.5806,             0.56063,             0.33673,            0.045629,            0.040074,            0.013114,           0.0026227,           0.0026227,           0.0026227
                 125,            0.027979,            0.025807,           0.0046151,             0.57882,             0.60069,             0.55839,             0.33105,            0.045609,            0.040312,            0.013192,           0.0025785,           0.0025785,           0.0025785
                 126,            0.027459,            0.025455,           0.0047693,             0.67859,             0.61451,             0.59143,             0.35988,            0.044772,            0.040385,            0.012903,           0.0025359,           0.0025359,           0.0025359
                 127,            0.026939,            0.025405,           0.0046861,              0.6605,             0.60679,             0.58801,             0.34962,            0.044839,            0.040577,            0.012731,           0.0024948,           0.0024948,           0.0024948
                 128,            0.027683,            0.024869,           0.0049023,             0.69115,             0.56557,             0.58172,             0.31958,            0.045455,            0.041047,            0.012399,           0.0024552,           0.0024552,           0.0024552
                 129,            0.026462,            0.026036,           0.0046654,             0.60086,             0.59331,             0.55766,             0.34511,            0.045459,            0.041076,            0.012282,           0.0024172,           0.0024172,           0.0024172
                 130,            0.026308,            0.026971,           0.0048416,             0.61797,             0.57124,             0.54208,             0.31952,            0.045431,            0.040862,            0.012204,           0.0023807,           0.0023807,           0.0023807
                 131,            0.026429,            0.026228,           0.0046016,             0.56098,             0.59763,             0.53517,             0.32219,            0.045693,            0.040857,            0.012321,           0.0023458,           0.0023458,           0.0023458
                 132,            0.026248,            0.024929,           0.0045929,             0.60317,             0.55975,             0.53302,             0.31397,            0.045773,            0.041082,            0.012626,           0.0023125,           0.0023125,           0.0023125
                 133,            0.027578,            0.025428,           0.0045773,             0.57008,             0.56796,             0.53593,             0.31551,            0.045871,             0.04137,            0.012895,           0.0022809,           0.0022809,           0.0022809
                 134,            0.026258,            0.025032,           0.0042858,             0.57871,             0.56239,             0.53337,             0.30761,             0.04542,            0.041696,            0.013182,           0.0022509,           0.0022509,           0.0022509
                 135,            0.024888,            0.026167,           0.0040691,             0.61918,              0.5987,             0.56722,             0.31775,            0.045448,             0.04207,             0.01332,           0.0022225,           0.0022225,           0.0022225
                 136,            0.026036,            0.025467,            0.004454,             0.59834,              0.5938,             0.53299,             0.32705,            0.046089,            0.042273,            0.013513,           0.0021958,           0.0021958,           0.0021958
                 137,            0.024751,            0.024676,           0.0041869,             0.53574,             0.61931,             0.54611,             0.32853,            0.045625,            0.042564,            0.013824,           0.0021707,           0.0021707,           0.0021707
                 138,            0.024632,            0.024721,           0.0042739,             0.61016,              0.5474,             0.55621,             0.32335,            0.045533,            0.042559,            0.014259,           0.0021473,           0.0021473,           0.0021473
                 139,            0.025222,            0.025603,           0.0038255,             0.65115,             0.51588,             0.54709,             0.32966,            0.045622,            0.042195,            0.014761,           0.0021257,           0.0021257,           0.0021257
                 140,            0.025061,            0.025905,           0.0036467,             0.63452,             0.51634,             0.53646,             0.31068,            0.045767,            0.041916,            0.015039,           0.0021057,           0.0021057,           0.0021057
                 141,            0.025568,            0.025981,           0.0039399,             0.59206,             0.55103,             0.54258,             0.33824,            0.045482,            0.041803,            0.014991,           0.0020874,           0.0020874,           0.0020874
                 142,            0.025407,            0.025781,           0.0037593,             0.59534,             0.54505,              0.5299,             0.32888,            0.045269,            0.041819,            0.014422,           0.0020709,           0.0020709,           0.0020709
                 143,            0.025071,            0.024679,           0.0036871,             0.65078,             0.54685,             0.54132,             0.32825,            0.044895,            0.041802,            0.013967,            0.002056,            0.002056,            0.002056
                 144,            0.024867,            0.023764,            0.003407,             0.65244,             0.53976,             0.53974,             0.32364,            0.045427,            0.042181,            0.013959,           0.0020429,           0.0020429,           0.0020429
                 145,             0.02488,            0.025504,           0.0036413,             0.62122,             0.55361,              0.5268,             0.32645,            0.045125,            0.042446,            0.013626,           0.0020315,           0.0020315,           0.0020315
                 146,            0.025502,            0.024855,           0.0044441,             0.56415,             0.57393,             0.54533,             0.33806,            0.044719,              0.0425,            0.013595,           0.0020219,           0.0020219,           0.0020219
                 147,            0.025306,             0.02602,           0.0042181,             0.52928,             0.60846,             0.54762,             0.31863,            0.044717,            0.042206,            0.013497,            0.002014,            0.002014,            0.002014
                 148,            0.025006,            0.023525,           0.0040234,             0.69912,              0.5586,             0.55987,              0.3308,            0.045215,            0.042187,            0.013588,           0.0020079,           0.0020079,           0.0020079
                 149,            0.024679,            0.025823,           0.0033042,             0.71892,             0.53188,             0.55553,             0.33967,            0.045254,             0.04191,            0.013571,           0.0020035,           0.0020035,           0.0020035
